Species,BEGR52,BEGR54,BEGR57,BEGR49,BEGR50,BEGR51,BEGR53,BEGR59,BEGR58,BEGR55,BEGR56,BEGR48,BEGR47,GRTU15,GRTU12,GRTU13,GRTU11,GRTU20,GRTU8,GRTU4,GRTU3,GRTU5,GRTU2,GRTU21,GRTU9,GRTU10,GRTU14,GRTU6,GRTU7,GRTU1
Chorthippus dorsatus ZETTERSTEDT,4,0,18,0,0,0,2,7,4,3,6,0,0,0,2,0,0,0,23,12,1,3,1,22,0,0,0,0,0,0
Chorthippus parallelus ZETTERSTEDT,41,36,35,42,37,34,34,30,32,37,26,40,46,32,38,22,41,17,22,22,17,20,29,30,37,16,30,40,21,40
Decticus verrucivorus L.,6,11,19,19,16,25,18,15,23,32,25,8,19,2,11,4,3,9,9,4,0,0,0,4,16,26,14,11,10,8
Metrioptera roeselii HAGENBACH,30,25,37,14,32,28,33,24,10,30,26,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omocestus viridulus L.,23,9,7,5,2,3,32,17,26,15,22,0,20,19,20,6,12,30,13,12,6,7,9,9,21,7,27,9,29,6
Tettigonia cantans FUESSLY,5,0,1,6,7,9,1,0,1,12,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chorthippus biguttulus L.,3,20,16,15,23,11,2,4,4,15,18,23,0,11,14,39,42,12,17,12,4,14,5,9,36,51,18,49,10,0
Stenobothrus lineatus PANZER,2,18,4,41,29,25,0,10,19,10,16,20,0,22,22,34,21,3,3,0,2,1,2,0,22,32,12,40,2,8
Tettigonia viridissima L.,0,4,1,1,0,0,0,1,15,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,10
Euthysthira brachyptera OCSKAY,0,4,0,24,4,31,5,32,31,44,35,0,0,0,1,2,5,0,0,0,0,0,0,1,0,0,0,1,0,0
Acryptera fusca PALLAS.,0,1,0,0,12,5,0,16,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platycleis albopunctata GOEZE,0,0,0,28,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphocerippus rufus L.,0,0,0,22,14,8,0,0,3,23,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Pholidoptera griseoaptera DEGEER,0,4,0,11,0,4,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetrix bipunctata L.,0,3,0,1,1,1,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0
Chorthippus brunneus THUNBERG,0,1,5,0,0,0,25,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miramella alpina KOLLAR,0,0,0,0,0,0,3,1,0,0,2,0,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gryllus campestris L.,0,1,0,1,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metrioptera brachyptera L.,0,0,0,2,1,2,0,12,20,7,9,0,0,23,14,13,25,14,5,0,0,0,0,20,0,0,35,2,15,10
Chorthippus montanus CHARPENTIER,0,0,0,0,0,0,0,20,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Omocestus rufipes ZETTERSTEDT.,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetrix subulata L.,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stetophyma grossum L.,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gomphocerus sibiricus L.,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,15,3,4,0,0,0,0,0,2,1,0,4,0,0,0
Stauroderus scalaris FISCHER V.W.,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,11,12,20,11,1,0,2,0,10,14,25,25,3,18,46
Psophus stridulus L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,14,0,10,0,0
Metrioptera bicolor PHILIPPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,8,2,0,0,25,0,29
Chorthippus appricarius L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,15,6,12,0,0,0,0,3,0,12
Pholidoptera aptera FAB.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
