Latitude,Longitude,rn,elevation,date,editor,slope,exposition,year,taxon,origin,ID,AS18_72,priority
46.813197109711226,9.37799850936196,BOWE04,679,2003-05-06,"HS,DK",1,94,2003,Tracheophyta,dorothea_pflanzen,do883006,55,P1
46.703575009670274,9.368823609387505,FLSO01,1838,2003-07-02,hs,5,102,2003,Tracheophyta,dorothea_pflanzen,do807712,47,P1
46.709063409673114,9.366764609383893,FLSOC,1903,2003-07-02,hs,1,86,2003,Tracheophyta,dorothea_pflanzen,do693448,47,P2
46.70427460965908,9.405802709421694,FLWE07,1243,2003-07-24,HS,12,45,2003,Tracheophyta,dorothea_pflanzen,do315369,59,P1
46.57668880944086,9.925464209934173,LPWE08,1689,2003-06-24,HS,0,8,2003,Tracheophyta,dorothea_pflanzen,do513913,59,P1
46.833735809623015,9.681629309632779,PEWE06,1441,2003-05-26,HS,22,157,2003,Tracheophyta,dorothea_pflanzen,do278230,47,P1
46.76791130968982,9.389280609386589,RHSO20,1488,2003-07-03,HS,20,292,2003,Tracheophyta,dorothea_pflanzen,do274360,59,P1
46.77246250969072,9.392248509387922,RHWE11,1291,2003-05-07,"HS,DK",1,35,2003,Tracheophyta,dorothea_pflanzen,do530423,50,P1
46.823944709783945,9.155536109150388,SISO08,2022,2003-07-16,HS,7,108,2003,Tracheophyta,dorothea_pflanzen,do823721,47,P2
46.83849960979268,9.14550070913645,SISO09,2037,2004-07-05,fw,27,123,2004,Tracheophyta,dorothea_pflanzen,do473801,47,P2
46.82539970978533,9.152863909147419,SISO95,2062,2003-08-13,HS,15,97,2003,Tracheophyta,dorothea_pflanzen,do317000,47,P2
46.80605150977797,9.151895209152412,SIWE20,1776,2003-07-15,HS,20,180,2003,Tracheophyta,dorothea_pflanzen,do531068,50,P1
46.545088709619264,9.318994109388774,SPOE04,1572,2003-07-19,HS,5,345,2003,Tracheophyta,dorothea_pflanzen,do183617,59,P1
46.543297409611654,9.341230609410236,SPSO13,2029,2003-08-02,HS,1,296,2003,Tracheophyta,dorothea_pflanzen,do182254,47,P2
46.55213960962303,9.31655620938438,SPWE02,1482,2003-06-18,HS,37,150,2003,Tracheophyta,dorothea_pflanzen,do974102,56,P1
46.669828609600934,9.546706609562518,SVWE09,1074,2004-06-08,fw,10,49,2004,Tracheophyta,dorothea_pflanzen,do303118,50,P1
46.66448640985681,8.687835608744885,TUSO07,2002,2002-07-10,dk,23,55,2002,Tracheophyta,dorothea_pflanzen,do979448,47,P2
46.69329630984655,8.765645408813379,TUSO12,1624,2002-06-25,dk,35,248,2002,Tracheophyta,dorothea_pflanzen,do113156,47,P1
46.63182671003229,7.994032408049384,Grindelwald.297,1248,2002-07-31,Markus Peter,50,110,2002,Tracheophyta,peter_pflanzen,pe691271,50,P1
46.61355151001247,8.039313408101071,Grindelwald.671,984,2003-07-27,Irene Weyermann,52,359,2003,Tracheophyta,peter_pflanzen,pe760660,58,P1
46.65643850984213,8.727056908785853,Tujetsch.166,1684,2002-06-28,Markus Peter,15,150,2002,Tracheophyta,peter_pflanzen,pe367151,57,P1
46.65065190984446,8.710392008771041,Tujetsch.172,1592,2002-07-10,Markus Peter,25,20,2002,Tracheophyta,peter_pflanzen,pe747692,47,P1
46.66229940984547,8.724308808781496,Tujetsch.444,1566,2003-07-23,Markus Peter,80,175,2003,Tracheophyta,peter_pflanzen,pe682078,52,P1
46.67157370983446,8.776025108829733,Tujetsch.460,1585,2003-07-26,Markus Peter,30,37,2003,Tracheophyta,peter_pflanzen,pe790677,50,P1
46.67586140982739,8.806665308858536,Tujetsch.465,1333,2003-07-26,Markus Peter,63,340,2003,Tracheophyta,peter_pflanzen,pe123171,50,P1
46.66187190984603,8.721528308778877,Tujetsch.474,1587,2003-07-28,Markus Peter,80,150,2003,Tracheophyta,peter_pflanzen,pe703426,50,P1
46.6594754098468,8.71542140877353,Tujetsch.562,1589,2004-08-11,Markus Peter,70,140,2004,Tracheophyta,peter_pflanzen,pe895504,53,P1
